,time, temperature,humidity
491,65596,31.2,85
492,65698,35.9,88
493,65800,31.5,87
494,65902,31.7,88
495,66004,32.5,88
496,66106,31.4,88
497,66208,33.5,85
498,66310,32.7,86
499,66412,30.9,85
500,66514,31.2,86
501,66616,31.2,86
502,66718,31.0,86
503,66820,31.4,85
504,66922,33.5,88
505,67023,31.4,88
506,67125,31.4,86
507,67227,31.2,87
508,67329,31.0,86
509,67431,30.9,86
510,67532,31.0,88
511,67633,32.0,88
512,67735,31.7,86
513,67837,31.4,87
514,67939,31.0,88
515,68041,36.2,88
516,68142,30.9,85
517,68243,32.0,86
518,68345,31.7,87
519,68447,33.5,88
520,68549,31.4,85
521,68650,31.4,85
522,68752,31.5,85
523,68854,31.5,88
524,68956,31.7,86
525,69058,31.4,85
526,69160,29.1,85
527,69261,32.7,87
528,69363,31.5,88
529,69465,31.2,88
530,69567,31.4,88
531,69668,29.3,85
532,69769,31.7,88
533,69871,31.2,86
534,69973,31.7,87
535,70075,31.9,85
536,70177,29.1,85
537,70278,31.4,87
538,70379,31.4,85
539,70481,30.9,88
540,70583,30.6,85
541,70686,31.4,87
542,70787,32.3,86
543,70888,31.7,85
544,70990,31.0,86
545,71092,31.0,86
546,71194,31.0,85
547,71296,32.7,88
548,71397,33.5,88
549,71498,32.0,87
550,71600,31.4,88
551,71702,31.7,88
552,71804,31.2,88
553,71905,31.9,87
554,72007,32.5,88
555,72109,31.5,87
556,72211,31.5,88
557,72313,31.0,86
558,72415,32.0,88
559,72517,31.2,86
560,72619,31.4,88
561,72721,30.9,88
562,72823,32.3,85
563,72925,30.9,86
564,73027,29.9,85
565,73129,31.4,88
566,73231,31.7,87
567,73333,30.9,87
568,73435,32.2,88
569,73536,30.4,88
570,73637,31.5,85
571,73738,32.0,88
572,73840,32.7,86
573,73941,31.7,88
574,74043,31.0,87
575,74144,30.6,87
576,74245,31.4,88
577,74347,31.9,86
578,74449,31.7,87
579,74551,31.2,85
580,74652,32.3,88
581,74754,31.4,86
582,74856,30.9,87
583,74958,31.7,88
584,75060,31.4,86
585,75162,32.7,85
586,75263,31.2,87
587,75364,31.2,86
588,75466,30.4,88
589,75568,31.7,87
590,75670,31.2,87
591,75771,31.7,88
592,75872,31.2,86
593,75974,30.7,85
594,76076,31.2,88
595,76178,29.9,86
596,76279,33.3,85
597,76380,31.4,85
598,76482,31.5,85
